date,store,product,quantity,price,category
2023-01-01,Store_A,Ramen_Noodles,120,2.5,Food
2023-01-01,Store_A,Coffee,85,3.0,Food
2023-01-01,Store_A,Bottled_Water,210,1.2,Food
2023-01-01,Store_A,Energy_Drink,65,4.5,Beverage
2023-01-01,Store_A,Chips,95,3.5,Snack
2023-01-02,Store_A,Ramen_Noodles,110,2.5,Food
2023-01-02,Store_A,Coffee,90,3.0,Food
2023-01-02,Store_A,Bottled_Water,195,1.2,Food
2023-01-02,Store_A,Energy_Drink,70,4.5,Beverage
2023-01-02,Store_A,Chips,100,3.5,Snack
2023-01-03,Store_A,Ramen_Noodles,130,2.5,Food
2023-01-03,Store_A,Coffee,80,3.0,Food
2023-01-03,Store_A,Bottled_Water,220,1.2,Food
2023-01-03,Store_A,Energy_Drink,60,4.5,Beverage
2023-01-03,Store_A,Chips,110,3.5,Snack
2023-01-04,Store_A,Ramen_Noodles,125,2.5,Food
2023-01-04,Store_A,Coffee,88,3.0,Food
2023-01-04,Store_A,Bottled_Water,205,1.2,Food
2023-01-04,Store_A,Energy_Drink,68,4.5,Beverage
2023-01-04,Store_A,Chips,98,3.5,Snack
2023-01-05,Store_A,Ramen_Noodles,140,2.5,Food
2023-01-05,Store_A,Coffee,92,3.0,Food
2023-01-05,Store_A,Bottled_Water,230,1.2,Food
2023-01-05,Store_A,Energy_Drink,72,4.5,Beverage
2023-01-05,Store_A,Chips,105,3.5,Snack
2023-01-01,Store_B,Ramen_Noodles,95,2.5,Food
2023-01-01,Store_B,Coffee,70,3.0,Food
2023-01-01,Store_B,Bottled_Water,180,1.2,Food
2023-01-01,Store_B,Energy_Drink,50,4.5,Beverage
2023-01-01,Store_B,Chips,80,3.5,Snack
2023-01-02,Store_B,Ramen_Noodles,100,2.5,Food
2023-01-02,Store_B,Coffee,75,3.0,Food
2023-01-02,Store_B,Bottled_Water,190,1.2,Food
2023-01-02,Store_B,Energy_Drink,55,4.5,Beverage
2023-01-02,Store_B,Chips,85,3.5,Snack
2023-01-03,Store_B,Ramen_Noodles,110,2.5,Food
2023-01-03,Store_B,Coffee,72,3.0,Food
2023-01-03,Store_B,Bottled_Water,200,1.2,Food
2023-01-03,Store_B,Energy_Drink,58,4.5,Beverage
2023-01-03,Store_B,Chips,90,3.5,Snack
2023-01-04,Store_B,Ramen_Noodles,105,2.5,Food
2023-01-04,Store_B,Coffee,78,3.0,Food
2023-01-04,Store_B,Bottled_Water,185,1.2,Food
2023-01-04,Store_B,Energy_Drink,52,4.5,Beverage
2023-01-04,Store_B,Chips,88,3.5,Snack
2023-01-05,Store_B,Ramen_Noodles,115,2.5,Food
2023-01-05,Store_B,Coffee,80,3.0,Food
2023-01-05,Store_B,Bottled_Water,195,1.2,Food
2023-01-05,Store_B,Energy_Drink,60,4.5,Beverage
2023-01-05,Store_B,Chips,92,3.5,Snack